Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","858","Uruguay","5413","Yield","0231","Hen eggs in shell, fresh","2021","2021","No/An","304","E","Estimated value",""
"QCL","Crops and livestock products","858","Uruguay","5424","Yield/Carcass Weight","0231","Hen eggs in shell, fresh","2021","2021","g/An","19789","E","Estimated value",""
"QCL","Crops and livestock products","858","Uruguay","5413","Yield","0231","Hen eggs in shell, fresh","2022","2022","No/An","294","E","Estimated value",""
"QCL","Crops and livestock products","858","Uruguay","5424","Yield/Carcass Weight","0231","Hen eggs in shell, fresh","2022","2022","g/An","20726","E","Estimated value",""
"QCL","Crops and livestock products","858","Uruguay","5413","Yield","0231","Hen eggs in shell, fresh","2023","2023","No/An","301","E","Estimated value",""
"QCL","Crops and livestock products","858","Uruguay","5424","Yield/Carcass Weight","0231","Hen eggs in shell, fresh","2023","2023","g/An","19580","E","Estimated value",""
"QCL","Crops and livestock products","858","Uruguay","5417","Yield/Carcass Weight","21118.01","Horse meat, fresh or chilled","2021","2021","kg/An","234","E","Estimated value",""
"QCL","Crops and livestock products","858","Uruguay","5417","Yield/Carcass Weight","21118.01","Horse meat, fresh or chilled","2022","2022","kg/An","235","E","Estimated value",""
"QCL","Crops and livestock products","858","Uruguay","5417","Yield/Carcass Weight","21118.01","Horse meat, fresh or chilled","2023","2023","kg/An","236","E","Estimated value",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01322","Lemons and limes","2021","2021","kg/ha","28081.6","A","Official figure",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01322","Lemons and limes","2022","2022","kg/ha","28068.1","E","Estimated value",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01322","Lemons and limes","2023","2023","kg/ha","23823.1","E","Estimated value",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01441","Linseed","2021","2021","kg/ha","1254.9","E","Estimated value",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01441","Linseed","2022","2022","kg/ha","1258.2","E","Estimated value",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01441","Linseed","2023","2023","kg/ha","1261.5","E","Estimated value",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","0112","Maize (corn)","2021","2021","kg/ha","5419","A","Official figure",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","0112","Maize (corn)","2022","2022","kg/ha","5761.2","A","Official figure",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","0112","Maize (corn)","2023","2023","kg/ha","1415.1","A","Official figure",""
"QCL","Crops and livestock products","858","Uruguay","5417","Yield/Carcass Weight","21111.01","Meat of cattle with the bone, fresh or chilled","2021","2021","kg/An","226","A","Official figure",""
"QCL","Crops and livestock products","858","Uruguay","5417","Yield/Carcass Weight","21111.01","Meat of cattle with the bone, fresh or chilled","2022","2022","kg/An","256","A","Official figure",""
"QCL","Crops and livestock products","858","Uruguay","5417","Yield/Carcass Weight","21111.01","Meat of cattle with the bone, fresh or chilled","2023","2023","kg/An","261","E","Estimated value",""
"QCL","Crops and livestock products","858","Uruguay","5424","Yield/Carcass Weight","21121","Meat of chickens, fresh or chilled","2021","2021","g/An","2432","A","Official figure",""
"QCL","Crops and livestock products","858","Uruguay","5424","Yield/Carcass Weight","21121","Meat of chickens, fresh or chilled","2022","2022","g/An","2430","A","Official figure",""
"QCL","Crops and livestock products","858","Uruguay","5424","Yield/Carcass Weight","21121","Meat of chickens, fresh or chilled","2023","2023","g/An","2314","A","Official figure",""
"QCL","Crops and livestock products","858","Uruguay","5417","Yield/Carcass Weight","21113.01","Meat of pig with the bone, fresh or chilled","2021","2021","kg/An","66","A","Official figure",""
"QCL","Crops and livestock products","858","Uruguay","5417","Yield/Carcass Weight","21113.01","Meat of pig with the bone, fresh or chilled","2022","2022","kg/An","64","A","Official figure",""
"QCL","Crops and livestock products","858","Uruguay","5417","Yield/Carcass Weight","21113.01","Meat of pig with the bone, fresh or chilled","2023","2023","kg/An","70","A","Official figure",""
"QCL","Crops and livestock products","858","Uruguay","5424","Yield/Carcass Weight","21114","Meat of rabbits and hares, fresh or chilled","2021","2021","g/An","1500","E","Estimated value",""
"QCL","Crops and livestock products","858","Uruguay","5424","Yield/Carcass Weight","21114","Meat of rabbits and hares, fresh or chilled","2022","2022","g/An","1500","E","Estimated value",""
"QCL","Crops and livestock products","858","Uruguay","5424","Yield/Carcass Weight","21114","Meat of rabbits and hares, fresh or chilled","2023","2023","g/An","1500","E","Estimated value",""
