area,item,amount [t],absolute_losses [t],relative_losses,al/capita [kg]
Latvia,Soyabeans,668482.5961375206,-667865.3237538817,-1.0,-350.17298455461474
Oman,Soyabeans,1809597.31702352,-1809597.31702352,-1.0,-394.32200680553376
Mongolia,Soyabeans,1697997.991334718,-1697335.5509960447,-1.0,-519.6249126336483
Lithuania,Soyabeans,1639257.020273195,-1635528.613273777,-1.0,-576.722949777417
Gambia,Soyabeans,1614378.386137891,-1614378.386137891,-1.0,-635.3196597696034
Honduras,Soyabeans,6699278.279886431,-6698278.279886431,-1.0,-667.0402667140451
Gabon,Soyabeans,1635945.0585125375,-1630769.9051463606,-1.0,-719.0359348880226
Uruguay,Milk - Excluding Butter,4986856.103879785,-2776278.9206299004,-1.0,-809.8189789050808
Barbados,Soyabeans,253110.89175948297,-241586.48301340075,-1.0,-861.4950878959614
Uruguay,Soyabean Oil,6097374.595603653,-6080409.095617638,-1.0,-1773.6080652951991
Uruguay,Pigs,7041392.528452365,-6916118.277753766,-1.0,-2017.3779370865857
Sweden,Soyabeans,21826619.656504888,-21808069.941549078,-1.0,-2112.89557240404
Malta,Soyabeans,1173412.455425664,-1173412.455425664,-1.0,-2302.6373010442885
Togo,Soyabeans,23527988.82362298,-23525988.82362298,-1.0,-2820.1058833174916
Denmark,Soyabeans,19430213.551648103,-19412253.802064236,-1.0,-3340.732308490229
Niger,Soyabeans,112492577.58474572,-112492577.58474572,-1.0,-4710.411096733344
Uruguay,Rabbits and hares,22889524.149990153,-22663679.430934805,-1.0,-6610.8191070469065
New Caledonia,Soyabeans,1992960.3340866023,-1992960.3340866023,-1.0,-6977.688228327255
Uruguay,Soyabean Cake,24794261.20689716,-24732332.40945792,-1.0,-7214.229099583411
Guyana,Soyabeans,7219745.216351424,-7219745.216351424,-1.0,-9117.658846526736
Dominica,Soyabeans,3737409.93310383,-3737409.93310383,-1.0,-52079.17525644933
Uruguay,Sorghum and products,324242283.02260864,-324138575.36752117,-1.0,-94548.70264559634
Guyana,Poultry Birds,106640976.7517899,-78865136.80225545,-1.0,-99597.06204300284
Cabo Verde,Soyabeans,79614450.80756047,-79614450.80756047,-1.0,-137282.15295139348
Uruguay,Poultry Birds,1723903695.1777563,-1698169316.399186,-1.0,-495342.7883615927
Uruguay,Soyabeans,4662221682.066057,-4660894020.102532,-1.0,-1359546.552796594
