area,item,amount [t]
Albania,"Fish, Seafood",151166.06913835325
Albania,Fodder crops,6408182.301818146
Albania,"Fruits, Other",166015.92676586332
Albania,Goats,
Albania,Grapefruit and products,7.8767103543494335
Albania,Grapes and products (excl wine),203523.76773599777
Albania,Grazing,9615854.0
Albania,Groundnut Cake,40.398712076818384
Albania,Groundnut Oil,101.52636077158778
Albania,Groundnuts,249.5635888516245
Albania,"Hard Fibres, Other",938.5586576572173
Albania,Hides and skins,
Albania,Honey,5010.464656552797
Albania,Hops,1809.692626457579
Albania,Horses,
Albania,Jute,0.0
Albania,Jute-Like Fibres,0.0
Albania,"Lemons, Limes and products",2766.415839257411
Albania,Maize Germ Oil,66.2397866525389
Albania,Maize and products,203272.61358842498
Albania,"Meat, Other",
Albania,Milk - Excluding Butter,
Albania,Millet and products,9379798.567922002
Albania,Mules,
Albania,Mutton & Goat Meat,
Albania,Nuts and products,16472.538024837533
Albania,Oats,12540.96359093952
Albania,"Offals, Edible",
Albania,"Oil, palm fruit",0.0
Albania,"Oilcrops Oil, Other",5737.560952501832
Albania,"Oilcrops, Other",2024.9753734734056
Albania,"Oilseed Cakes, Other",11.289421837976223
Albania,Olive Oil,12874.814205715356
Albania,Olives (including preserved),136610.44850311716
Albania,Onions,108103.5193161754
Albania,"Oranges, Mandarines",56975.976295140725
Albania,Palm Oil,451.3071247681089
Albania,Palm kernels,0.0
Albania,Palmkernel Cake,15206.194128218629
Albania,Palmkernel Oil,2590.0575076385458
Albania,Peas,605.740064264681
Albania,Pepper,2.5808381172171053
Albania,Pigmeat,
Albania,Pigs,
Albania,Pimento,3.130020786860974
Albania,Pineapples and products,749.144559518318
Albania,Plantains,0.0
Albania,Potatoes and products,6247.582763771543
Albania,Poultry Birds,
Albania,Poultry Meat,
Albania,"Pulses, Other and products",9352.628990452367
Albania,Rabbits and hares,
Albania,Rape and Mustard Cake,2332.1228377579446
Albania,Rape and Mustard Oil,2141.365021294118
Albania,Rape and Mustardseed,9092.274850510712
Albania,Rice and products,6693.3641788663845
Albania,Ricebran Oil,0.0
Albania,"Rodents, other",0.0
Albania,"Roots, Other",3.708432437221101
Albania,Rubber,18.89749618688628
Albania,Rye and products,3279.5409291808355
Albania,Seed cotton,691.0
Albania,Sesame seed,13721.335952269548
Albania,Sesameseed Cake,0.0
Albania,Sesameseed Oil,414.674491711074
Albania,Sheep,
Albania,Silk,0.0
Albania,Sisal,0.0
Albania,"Soft-Fibres, Other",1071.9783517180886
Albania,Sorghum and products,1012282347.8083675
Albania,Soyabean Cake,1037122526.5536524
Albania,Soyabean Oil,83559506.28454703
Albania,Soyabeans,28332159805.704136
Albania,"Spices, Other",490.0237990929686
Albania,Sugar (Raw Equivalent),153819.12649505405
Albania,Sugar beet,27000.0
Albania,Sugar cane,0.0
Albania,Sugar non-centrifugal,0.0
Albania,Sunflower seed,137739324.71183583
Albania,Sunflowerseed Cake,29521219.943665925
Albania,Sunflowerseed Oil,53896902.60365773
Albania,Sweet potatoes,9.12569087826525
Albania,"Sweeteners, Other",40861.02466048303
Albania,Tea (including mate),109.91945895932787
Albania,Tobacco,2314.276044746631
Albania,Tomatoes and products,318193.7324583708
Albania,"Vegetables, Other",878745.9434054504
Albania,Wheat and products,22995.31366078119
Albania,Wine,12297.891476228117
Albania,Wool (Clean Eq.),
Albania,Yams,0.0
Algeria,Abaca,0.0
Algeria,"Alcohol, Non-Food",15071.133309324601
Algeria,Apples and products,571233.9915396897
Algeria,Asses,
Algeria,Bananas,7722.459765754232
Algeria,Barley and products,4287.309690488018
Algeria,Beans,16282.416136894737
Algeria,Beer,3140.681012994925
Algeria,"Beverages, Alcoholic",4526.429805420057
Algeria,"Beverages, Fermented",284.40315485345195
Algeria,Bovine Meat,
Algeria,Buffaloes,
Algeria,"Butter, Ghee",
Algeria,"Camelids, other",0.0
Algeria,Camels,
Algeria,Cassava and products,6842.454328398224
Algeria,Cattle,
Algeria,"Cereals, Other",912.9194247638167
Algeria,"Citrus, Other",1004.5468962793813
Algeria,Cloves,33.06334021705786
Algeria,Cocoa Beans and products,492.40215268926823
Algeria,Coconut Oil,946.0177648875771
Algeria,Coconuts - Incl Copra,872.5863192455768
Algeria,Coffee and products,18686.20850514301
Algeria,Copra Cake,3.2671432780078487
Algeria,Cotton lint,1073.9683916095692
Algeria,Cottonseed,76.39456474653316
Algeria,Cottonseed Cake,19.767248394826055
Algeria,Cottonseed Oil,23.237333011661047
Algeria,Dates,1152000.370131691
Algeria,Eggs,
Algeria,"Fats, Animals, Raw",
Algeria,"Fish, Seafood",104412.01576282643
Algeria,Fodder crops,4094671.0819502296
Algeria,"Fruits, Other",959736.0901011368
Algeria,Goats,
Algeria,Grapefruit and products,2025.9091241499398
Algeria,Grapes and products (excl wine),580672.130006781
Algeria,Grazing,22232517.0
Algeria,Groundnut Cake,5220.001392400464
Algeria,Groundnut Oil,4217.485716826828
Algeria,Groundnuts,15054.360639981853
Algeria,"Hard Fibres, Other",15.959311888653213
Algeria,Hides and skins,
Algeria,Honey,5013.097328027883
Algeria,Hops,0.09093486233245811
Algeria,Horses,
Algeria,Jute,0.0
Algeria,Jute-Like Fibres,0.0
Algeria,"Lemons, Limes and products",85006.53644771004
Algeria,Maize Germ Oil,57.140374693813655
Algeria,Maize and products,233538.77459555713
Algeria,"Meat, Other",
Algeria,Milk - Excluding Butter,
Algeria,Millet and products,22225.71325264874
Algeria,Mules,
Algeria,Mutton & Goat Meat,
Algeria,Nuts and products,79514.07150042037
Algeria,Oats,37523.01057105755
Algeria,"Offals, Edible",
Algeria,"Oil, palm fruit",0.0
Algeria,"Oilcrops Oil, Other",74365.23397667105
Algeria,"Oilcrops, Other",3160.6685357147217
Algeria,"Oilseed Cakes, Other",12.223130452616195
Algeria,Olive Oil,123367.52527103727
Algeria,Olives (including preserved),1080022.628614315
Algeria,Onions,1666086.2428843775
Algeria,"Oranges, Mandarines",1484173.5927558423
Algeria,Palm Oil,42039.23619542081
Algeria,Palm kernels,0.0
Algeria,Palmkernel Cake,2358.2797556710634
Algeria,Palmkernel Oil,350.07306415346534
Algeria,Peas,7212.471894869149
Algeria,Pepper,622.4345029014338
Algeria,Pigmeat,
Algeria,Pigs,
Algeria,Pimento,17737.430460229825
Algeria,Pineapples and products,1753.4801018567211
Algeria,Plantains,1147.645750908482
Algeria,Potatoes and products,91793.15937516284
Algeria,Poultry Birds,
Algeria,Poultry Meat,
Algeria,"Pulses, Other and products",65916.22849614549
Algeria,Rabbits and hares,
Algeria,Rape and Mustard Cake,65935.4405370784
Algeria,Rape and Mustard Oil,37322.19404711983
Algeria,Rape and Mustardseed,108430.84556088735
Algeria,Rice and products,1987.236837226171
Algeria,Ricebran Oil,0.0
Algeria,"Rodents, other",0.0
Algeria,"Roots, Other",22.657140939470015
Algeria,Rubber,6.148371046253173
Algeria,Rye and products,108.60465530452959
Algeria,Seed cotton,81.0
Algeria,Sesame seed,10735.517986003386
Algeria,Sesameseed Cake,0.0839176777581413
Algeria,Sesameseed Oil,16.991923273225087
Algeria,Sheep,
Algeria,Silk,0.0
Algeria,Sisal,0.0
Algeria,"Soft-Fibres, Other",13.862352330882855
Algeria,Sorghum and products,28265174.00475523
Algeria,Soyabean Cake,2818377850.9226527
Algeria,Soyabean Oil,3050990771.0252132
Algeria,Soyabeans,110243633392.76102
Algeria,"Spices, Other",6786.811538364642
Algeria,Sugar (Raw Equivalent),4399023.855472623
Algeria,Sugar beet,0.0
Algeria,Sugar cane,0.0
Algeria,Sugar non-centrifugal,0.0
Algeria,Sunflower seed,411516956.87932605
Algeria,Sunflowerseed Cake,122416121.43977313
Algeria,Sunflowerseed Oil,142215669.87666917
Algeria,Sweet potatoes,12.531899558928261
Algeria,"Sweeteners, Other",147595.16936604673
Algeria,Tea (including mate),13452.911928144613
Algeria,Tobacco,5070.13185977778
Algeria,Tomatoes and products,1746898.1866328951
Algeria,"Vegetables, Other",7028458.882564228
Algeria,Wheat and products,362231.09912467963
Algeria,Wine,32927.81009959725
Algeria,Wool (Clean Eq.),
Algeria,Yams,0.0
Angola,Abaca,0.0
Angola,"Alcohol, Non-Food",90238.03113412079
Angola,Apples and products,11241.601675073345
Angola,Asses,
Angola,Bananas,4115006.150533002
Angola,Barley and products,113.56897016917644
Angola,Beans,24203.495516716714
Angola,Beer,281775177.6379027
Angola,"Beverages, Alcoholic",26347.746331676397
Angola,"Beverages, Fermented",754519.1788209147
Angola,Bovine Meat,
Angola,Buffaloes,
Angola,"Butter, Ghee",
Angola,"Camelids, other",
Angola,Camels,
Angola,Cassava and products,8782092.460599214
Angola,Cattle,
Angola,"Cereals, Other",243.62976799346677
Angola,"Citrus, Other",425004.0214706614
Angola,Cloves,0.0
Angola,Cocoa Beans and products,442.07195415805353
Angola,Coconut Oil,802.0021441513658
Angola,Coconuts - Incl Copra,4706.529695950578
Angola,Coffee and products,16306.659904292948
Angola,Copra Cake,53.499539353468066
Angola,Cotton lint,1518.196221392419
Angola,Cottonseed,3207.4976299944615
Angola,Cottonseed Cake,1860.9528657226954
Angola,Cottonseed Oil,703.2717327632548
Angola,Dates,0.06012598411870468
Angola,Eggs,
Angola,"Fats, Animals, Raw",
Angola,"Fish, Seafood",453115.1667732574
Angola,Fodder crops,0.0
Angola,"Fruits, Other",62269.63461639431
Angola,Goats,
Angola,Grapefruit and products,11.23047514002446
Angola,Grapes and products (excl wine),14.616325266908586
Angola,Grazing,33680062.0
Angola,Groundnut Cake,295.04253799396406
Angola,Groundnut Oil,224.75710190109783
Angola,Groundnuts,1435.7723681080402
Angola,"Hard Fibres, Other",1.7788596308032985
Angola,Hides and skins,
Angola,Honey,23005.66626041319
Angola,Hops,0.003685929806334762
Angola,Horses,
Angola,Jute,0.0
Angola,Jute-Like Fibres,825.0
Angola,"Lemons, Limes and products",999.1136832256566
Angola,Maize Germ Oil,80.46099487819059
Angola,Maize and products,156561.76054752016
Angola,"Meat, Other",
Angola,Milk - Excluding Butter,
Angola,Millet and products,2986.8328929103977
Angola,Mules,
Angola,Mutton & Goat Meat,
Angola,Nuts and products,2144.9771551357962
Angola,Oats,405.3311551738104
Angola,"Offals, Edible",
Angola,"Oil, palm fruit",282227.0
Angola,"Oilcrops Oil, Other",11126.450760538324
Angola,"Oilcrops, Other",4105.176974646259
Angola,"Oilseed Cakes, Other",0.6963361581761588
Angola,Olive Oil,1974.440868566305
Angola,Olives (including preserved),2.957477888353252
Angola,Onions,7400.491438542221
Angola,"Oranges, Mandarines",16974.028449812366
Angola,Palm Oil,88228.73120525733
Angola,Palm kernels,22400.142697351825
Angola,Palmkernel Cake,20414.187750733297
Angola,Palmkernel Oil,12669.43890794276
Angola,Peas,5.371443646260604
Angola,Pepper,0.0
Angola,Pigmeat,
Angola,Pigs,
Angola,Pimento,8.745676522929909
Angola,Pineapples and products,595605.9283117814
Angola,Plantains,0.0
Angola,Potatoes and products,8118.240928604971
Angola,Poultry Birds,
Angola,Poultry Meat,
Angola,"Pulses, Other and products",24117.245579196864
Angola,Rabbits and hares,
Angola,Rape and Mustard Cake,4034.210948796833
Angola,Rape and Mustard Oil,2538.1999966790536
Angola,Rape and Mustardseed,28193.994753600728
Angola,Rice and products,13660.5690917404
Angola,Ricebran Oil,0.0
Angola,"Rodents, other",
Angola,"Roots, Other",10.003631142758604
Angola,Rubber,8.937593044309457
Angola,Rye and products,0.8605054101990102
Angola,Seed cotton,5337.0
Angola,Sesame seed,592276.6722096648
Angola,Sesameseed Cake,0.0
