area,item,amount [t],absolute_losses [t],relative_losses,al/capita [kg]
Zimbabwe,"Beverages, Alcoholic",74832.92423630187,-23019.749026186582,-0.4442836968171857,-1.4846445337969651
Jamaica,Sesame seed,4206.214592315166,-4206.214592315166,-1.0,-1.4944945616160346
Australia,Rape and Mustard Cake,247175.24591772736,-38189.29236442907,-0.18273616822141858,-1.495029155739516
Cyprus,Cotton lint,1861.9689481441917,-1861.9689481441917,-1.0,-1.5091604390288946
Madagascar,Sugar (Raw Equivalent),274984.1173758607,-42159.41201377654,-0.181077914168134,-1.5122211669286443
Nigeria,"Alcohol, Non-Food",571918.0328079631,-311855.02030672843,-1.0,-1.5154734114104802
Fiji,Rape and Mustardseed,1397.2968396368788,-1397.2968396368788,-1.0,-1.5219589775271503
Dominica,"Beverages, Alcoholic",109.34940776838803,-109.34940776838803,-1.0,-1.5237362433586203
Venezuela (Bolivarian Republic of),"Beverages, Alcoholic",76677.97792806831,-44280.651510513075,-1.0,-1.5467152662921448
Solomon Islands,Rape and Mustard Oil,1065.264735101602,-1065.264735101602,-1.0,-1.5599200686217713
Namibia,"Oilcrops Oil, Other",9257.597970547127,-3857.2888129601733,-0.7142718500738103,-1.563505643707178
Yemen,Sesameseed Cake,57365.04704020761,-50009.60807000823,-1.0,-1.566367212974528
Dominican Republic,Sugar (Raw Equivalent),646143.9462413886,-17609.316917879623,-0.02801646257236845,-1.609722858035276
Bahrain,Rape and Mustardseed,2426.390462462705,-2426.390462462705,-1.0,-1.624054128966833
Italy,Millet and products,109121.11173541454,-97173.4901528274,-1.0,-1.629336960851734
Lesotho,Rape and Mustardseed,3650.463832432148,-3650.463832432148,-1.0,-1.62995950732011
Namibia,"Roots, Other",373021.70735909534,-4021.707359095337,-0.010898935932507792,-1.6301507245600104
Nepal,"Sweeteners, Other",170315.10910550508,-47362.47342733637,-0.38520909426706984,-1.6332322729614956
Cabo Verde,"Roots, Other",954.9291707503428,-954.9291707503428,-1.0,-1.646619817720914
Portugal,Sesame seed,16958.60260341999,-16958.60260341999,-1.0,-1.646722233564653
Nigeria,Sugar cane,1856055.1504340896,-339055.15043408726,-0.22350372474231173,-1.6476536596372815
Mozambique,Sesameseed Cake,83000.71928917401,-50794.56777402239,-1.0,-1.653428528508104
Estonia,"Oilcrops, Other",6803.851666395269,-2223.1148423169625,-0.4853181764626431,-1.6726644041972922
Botswana,Beans,4230.927039460258,-4230.927039460258,-1.0,-1.6765834355218554
Qatar,Sesame seed,4750.968168934713,-4750.968168934713,-1.0,-1.6796004316346471
Bahamas,"Pulses, Other and products",866.9748198070989,-684.9748198070989,-1.0,-1.6880489621372692
"China, Macao SAR","Roots, Other",4089.0306747592977,-1141.929648756563,-0.38747556961269347,-1.7043242785004051
