area,item,combined_shocks,absolute_losses,relative_losses
Afghanistan,Rape and Mustard Oil,1743.8114837476944,0.0,0.0
Afghanistan,Rape and Mustardseed,0.0,0.0,0.0
Afghanistan,Rice and products,131654.21936379466,769350.1143536418,0.8538805925376574
Afghanistan,Ricebran Oil,0.0,0.0,0.0
Afghanistan,"Rodents, other",0.0,0.0,0.0
Afghanistan,"Roots, Other",0.0,0.0,0.0
Afghanistan,Rubber,0.0,0.0,0.0
Afghanistan,Rye and products,0.0,0.0,0.0
Afghanistan,Seed cotton,74061.99999999988,0.0,0.0
Afghanistan,Sesame seed,41999.9999999998,0.0,0.0
Afghanistan,Sesameseed Cake,3381.9999999999845,0.0,0.0
Afghanistan,Sesameseed Oil,1999.999999999991,0.0,0.0
Afghanistan,Sheep,6920843.779059101,-166.55278348270804,-2.4065966095054847e-05
Afghanistan,Silk,555.99817272134,0.0,0.0
Afghanistan,Sisal,0.0,0.0,0.0
Afghanistan,"Soft-Fibres, Other",0.0,0.0,0.0
Afghanistan,Sorghum and products,1116.184152039395,-63.20715082137622,-0.060027095319519885
Afghanistan,Soyabean Cake,22015.54166370557,-0.04074645526634413,-1.8508075478873565e-06
Afghanistan,Soyabean Oil,5225.269511758241,0.0,0.0
Afghanistan,Soyabeans,7757.998909120939,1.8189894035458565e-12,2.220446049250313e-16
Afghanistan,"Spices, Other",19975.24832406031,0.0,0.0
Afghanistan,Sugar (Raw Equivalent),750597.3133119314,18.25557861593552,2.432080997594177e-05
Afghanistan,Sugar beet,5000.0,0.0,0.0
Afghanistan,Sugar cane,40000.0,0.0,0.0
Afghanistan,Sugar non-centrifugal,0.0,0.0,0.0
Afghanistan,Sunflower seed,6558.0011061129935,0.0,0.0
Afghanistan,Sunflowerseed Cake,4623.541640973718,0.0,0.0
Afghanistan,Sunflowerseed Oil,99404.9031902451,0.0,0.0
Afghanistan,Sweet potatoes,0.0,0.0,0.0
Afghanistan,"Sweeteners, Other",17603.49660508835,391.95196762220803,0.021780616695300847
Afghanistan,Tea (including mate),14977.241131834988,0.0,0.0
Afghanistan,Tobacco,0.0,0.0,0.0
Afghanistan,Tomatoes and products,16998.999910432398,0.0,0.0
Afghanistan,"Vegetables, Other",3337921.999971832,0.0,0.0
Afghanistan,Wheat and products,7947319.970950641,-424544.628454268,-0.05643457489099846
Afghanistan,Wine,0.0,0.0,0.0
Afghanistan,Wool (Clean Eq.),13711.185971744384,-0.3277972782670986,-2.390786004036194e-05
Afghanistan,Yams,0.0,0.0,0.0
Albania,Abaca,0.0,0.0,0.0
Albania,"Alcohol, Non-Food",580.2268260499208,0.7184252646105733,0.001236648828757847
Albania,Apples and products,108894.11122928077,0.0,0.0
Albania,Asses,0.0,0.0,0.0
Albania,Bananas,27051.999753939723,0.0,0.0
Albania,Barley and products,25184.724527871487,-1432.7234283247199,-0.06032011460087294
Albania,Beans,24686.06091692801,0.0,0.0
Albania,Beer,86501.84301734339,-2261.554813183262,-0.02684647526017825
Albania,"Beverages, Alcoholic",3939.027487743039,7.368856921321822,0.0018672369112860965
Albania,"Beverages, Fermented",0.0,0.0,0.0
Albania,Bovine Meat,34000.55567811499,-20.09940405852103,-0.0005914989456414776
Albania,Buffaloes,0.0,0.0,0.0
Albania,"Butter, Ghee",4003.1808469271873,-4.023181396839391,-0.001006007197844605
Albania,"Camelids, other",0.0,0.0,0.0
Albania,Camels,0.0,0.0,0.0
Albania,Cassava and products,0.0,0.0,0.0
Albania,Cattle,283485.23351943976,-188.3830624523107,-0.0006649670201006597
Albania,"Cereals, Other",943.3768221226394,-25.67266979150338,-0.02797488681541882
Albania,"Citrus, Other",16.0,0.0,0.0
Albania,Cloves,0.0,0.0,0.0
Albania,Cocoa Beans and products,0.0,0.0,0.0
Albania,Coconut Oil,0.0,0.0,0.0
Albania,Coconuts - Incl Copra,0.0,0.0,0.0
Albania,Coffee and products,7996.15026069247,0.0,0.0
Albania,Copra Cake,16.95697678596091,0.0,0.0
Albania,Cotton lint,248.8629923188469,0.0,0.0
Albania,Cottonseed,1000.0,0.0,0.0
Albania,Cottonseed Cake,27.0,0.0,0.0
Albania,Cottonseed Oil,72.0,0.0,0.0
Albania,Dates,15000.0,0.0,0.0
Albania,Eggs,54395.521898012696,-859.1672209112294,-0.016048295146227298
Albania,"Fats, Animals, Raw",3994.537024938334,-1.260863876545045,-0.0003157467266701186
Albania,"Fish, Seafood",21756.156368428048,0.0,0.0
Albania,Fodder crops,6408178.905014191,0.0,0.0
Albania,"Fruits, Other",166561.9921189143,0.0,0.0
Albania,Goats,748541.311609237,-134.2930459404597,-0.00017943851755730655
Albania,Grapefruit and products,0.0,0.0,0.0
Albania,Grapes and products (excl wine),203951.46610078504,0.0,0.0
Albania,Grazing,9615854.0,0.0,0.0
Albania,Groundnut Cake,39.0,0.0,0.0
Albania,Groundnut Oil,64.0,0.0,0.0
Albania,Groundnuts,1000.6463552194064,0.0,0.0
Albania,"Hard Fibres, Other",0.0,0.0,0.0
Albania,Hides and skins,13912.742445576943,-6.730713350110818,-0.00048401464630676294
Albania,Honey,5000.0,0.0,0.0
Albania,Hops,1801.7247935023424,0.0,0.0
Albania,Horses,2.9771436252543584,5.991997442222896e-05,2.0126260603881008e-05
Albania,Jute,0.0,0.0,0.0
Albania,Jute-Like Fibres,0.0,0.0,0.0
Albania,"Lemons, Limes and products",9498.79342147749,0.0,0.0
Albania,Maize Germ Oil,1742.2965616403235,1.8469006888794866,0.0010589155816420615
Albania,Maize and products,492295.8529662528,-13992.346298477496,-0.029254116065254854
Albania,"Meat, Other",0.0,0.0,0.0
Albania,Milk - Excluding Butter,1073058.3571060328,-1053.3839836684056,-0.0009826297545991736
Albania,Millet and products,0.0,0.0,0.0
Albania,Mules,0.0,0.0,0.0
Albania,Mutton & Goat Meat,23998.05935342509,-3.981608636047895,-0.00016594130761760084
Albania,Nuts and products,16877.498862234268,0.0,0.0
Albania,Oats,36000.0,0.0,0.0
Albania,"Offals, Edible",14188.131726147234,-36.887544663282824,-0.0026066644169384645
Albania,"Oil, palm fruit",0.0,0.0,0.0
Albania,"Oilcrops Oil, Other",3691.014209003801,0.0,0.0
Albania,"Oilcrops, Other",0.0,0.0,0.0
Albania,"Oilseed Cakes, Other",638.5845305453373,0.21831703832094718,0.0003417596511141596
Albania,Olive Oil,13816.825191258624,0.0,0.0
Albania,Olives (including preserved),139818.4895075656,0.0,0.0
Albania,Onions,106687.0,0.0,0.0
Albania,"Oranges, Mandarines",63454.99701201036,0.0,0.0
Albania,Palm Oil,1974.5080872212884,0.0,0.0
Albania,Palm kernels,0.0,0.0,0.0
Albania,Palmkernel Cake,0.0,0.0,0.0
Albania,Palmkernel Oil,0.0,0.0,0.0
Albania,Peas,0.0,0.0,0.0
Albania,Pepper,0.0,0.0,0.0
Albania,Pigmeat,14158.284601823536,-21.571737540889444,-0.0015259373057927572
Albania,Pigs,169351.7290857588,-624.0138264228008,-0.0036983481075629765
Albania,Pimento,0.0,0.0,0.0
Albania,Pineapples and products,995.6261940907782,0.0,0.0
Albania,Plantains,0.0,0.0,0.0
Albania,Potatoes and products,263283.40043132217,0.0,0.0
Albania,Poultry Birds,11094564.938612916,-191265.6880549919,-0.01754200115576987
Albania,Poultry Meat,38430.41979115441,-161.35278829922754,-0.00421627180738926
Albania,"Pulses, Other and products",3550.6638730912123,4.547473508864641e-13,1.1102230246251565e-16
Albania,Rabbits and hares,0.0,0.0,0.0
Albania,Rape and Mustard Cake,0.0,0.0,0.0
Albania,Rape and Mustard Oil,0.0,0.0,0.0
Albania,Rape and Mustardseed,0.0,0.0,0.0
Albania,Rice and products,12280.512658367525,11991.234268407754,0.4940408411715793
Albania,Ricebran Oil,0.0,0.0,0.0
Albania,"Rodents, other",0.0,0.0,0.0
Albania,"Roots, Other",0.0,0.0,0.0
Albania,Rubber,0.0,0.0,0.0
Albania,Rye and products,3000.0,0.0,0.0
Albania,Seed cotton,691.0,0.0,0.0
Albania,Sesame seed,0.0,0.0,0.0
Albania,Sesameseed Cake,0.0,0.0,0.0
Albania,Sesameseed Oil,0.0,0.0,0.0
Albania,Sheep,1219021.014494004,-221.11527693644166,-0.00018142049164793228
Albania,Silk,0.0,0.0,0.0
Albania,Sisal,0.0,0.0,0.0
Albania,"Soft-Fibres, Other",0.0,0.0,0.0
Albania,Sorghum and products,0.0,0.0,0.0
Albania,Soyabean Cake,20265.75643540743,-0.00991391901334282,-4.891958460540025e-07
Albania,Soyabean Oil,1015.377062251909,0.0,0.0
Albania,Soyabeans,441.0,0.0,0.0
Albania,"Spices, Other",343.0,0.0,0.0
Albania,Sugar (Raw Equivalent),50416.0897801077,21.806571948342025,0.0004323449930609957
Albania,Sugar beet,27000.0,0.0,0.0
Albania,Sugar cane,0.0,0.0,0.0
Albania,Sugar non-centrifugal,0.0,0.0,0.0
Albania,Sunflower seed,1000.0,0.0,0.0
Albania,Sunflowerseed Cake,1637.7144284703672,0.0,0.0
Albania,Sunflowerseed Oil,16706.66386013131,0.0,0.0
Albania,Sweet potatoes,0.0,0.0,0.0
Albania,"Sweeteners, Other",49362.111697127606,1649.4798018823858,0.0323353918866538
Albania,Tea (including mate),0.0,0.0,0.0
Albania,Tobacco,4231.777519861304,0.0,0.0
Albania,Tomatoes and products,318926.9999999572,0.0,0.0
Albania,"Vegetables, Other",878142.6435614629,0.0,0.0
Albania,Wheat and products,520919.0505160013,-37475.62163902738,-0.0775181115318544
Albania,Wine,5962.92491378081,0.0,0.0
Albania,Wool (Clean Eq.),2830.412853392174,-0.471676888068032,-0.00016667374289758285
Albania,Yams,0.0,0.0,0.0
Algeria,Abaca,0.0,0.0,0.0
Algeria,"Alcohol, Non-Food",1932.4680830274124,7.23467478136854,0.0037297852736680737
Algeria,Apples and products,571637.1020901597,0.0,0.0
Algeria,Asses,0.0,0.0,0.0
Algeria,Bananas,256249.98399709765,0.0,0.0
Algeria,Barley and products,2238156.020304977,-126696.13923075702,-0.06000404761008271
Algeria,Beans,49437.917222901895,0.0,0.0
