area,item,amount [t],absolute_losses [t],relative_losses,al/capita [kg]
Malta,Poultry Birds,763000.7628247025,1206961.2930194174,0.6126825079898506,2368.4716157329203
Iraq,Poultry Birds,15395491.1347451,98613506.82705534,0.8649624905930366,2345.5419869802986
Denmark,Pigs,18421471.57165135,12989694.539694093,0.41353748197849705,2235.4484269910317
Georgia,Poultry Birds,6778548.402027678,8083242.357635951,0.5438942378044153,2144.5608657462244
Saint Lucia,Poultry Birds,695460.0387071567,370163.8679649043,0.3473682090343905,2068.856082342609
Sao Tome and Principe,Poultry Birds,569435.4330587065,440712.2424162427,0.43628496418509255,2038.239598265869
Grenada,Poultry Birds,295386.94033973815,237207.4206499362,0.44538102170130756,1926.025874275824
Madagascar,Poultry Birds,22242600.909295715,51404984.96156738,0.6979860147989525,1843.8517671719173
Bangladesh,Poultry Birds,58015519.06732422,298926011.632531,0.8374649233067017,1796.138993105109
India,Poultry Birds,467549456.5950447,2388316673.9577117,0.8362845332303619,1718.2549853687303
Cameroon,Poultry Birds,59471630.416937366,44103732.56017479,0.4258129664476361,1687.397745948868
Lithuania,Wheat and products,700758.6972487706,4224242.445031447,0.857714003102885,1489.5597323711863
Paraguay,Soyabeans,1835095.8238361257,9210183.186785856,0.8338569969965125,1401.206228471466
Guatemala,Sugar cane,3927798.066508068,23741201.93349199,0.8580433674325758,1377.8054060102231
Zambia,Poultry Birds,24653733.965715956,24655204.005744148,0.5000149064255759,1321.6463350706847
Latvia,Wheat and products,410566.4139311409,2418534.7718755137,0.8548774374027639,1268.0783223727606
Malawi,Poultry Birds,19568091.251323003,21864712.903657813,0.5277150159055639,1143.4991808253308
Lao People's Democratic Republic,Poultry Birds,40047414.87540384,8303110.356301159,0.1717274076447166,1142.789279408356
"China, Hong Kong SAR",Poultry Birds,12455097.776371771,8498161.49243073,0.4055770695819013,1132.80016566864
Montenegro,Poultry Birds,254917.789894933,711221.5088214866,0.7361479962220683,1129.1201778429354
Argentina,Maize and products,8293403.585766523,50106837.63580453,0.8579902511994553,1115.7554464160653
El Salvador,Sugar cane,1092214.330973762,6601785.669026239,0.8580433674325758,1051.085440804111
