area,item,amount [t],absolute_losses [t],relative_losses,al/capita [kg]
Niger,Soyabeans,111198584.22533768,-111198584.22533768,-1.0,-4656.227604718832
Uruguay,Rabbits and hares,22627627.020656507,-22401782.30160116,-1.0,-6534.425750356714
New Caledonia,Soyabeans,1970035.466568753,-1970035.466568753,-1.0,-6897.424424036051
Uruguay,Soyabean Cake,24509055.024893455,-24447126.227454215,-1.0,-7131.036673429322
Guyana,Soyabeans,7136697.049377573,-7136697.049377573,-1.0,-9012.779126868205
Dominica,Soyabeans,3694418.797700441,-3694418.797700441,-1.0,-51480.11255922804
Uruguay,Sorghum and products,320524763.2336815,-320421055.578594,-1.0,-93464.3310224291
Guyana,Poultry Birds,105665585.48751338,-77889745.53797892,-1.0,-98365.26167843952
Cabo Verde,Soyabeans,78698651.98003078,-78698651.98003078,-1.0,-135703.00703707285
Uruguay,Poultry Birds,1704201609.8577068,-1678467231.0791364,-1.0,-489595.84323384485
Uruguay,Soyabeans,4608592509.584885,-4607264847.62136,-1.0,-1343903.340086405
