area,item,amount [t],absolute_losses [t],relative_losses,al/capita [kg]
Albania,Poultry Birds,3424184.9823702904,7479114.268187631,0.6859496466452506,2604.030551607215
Eswatini,Poultry Birds,3598655.05737427,3014704.062534454,0.45585065136702607,2567.405535354008
Togo,Poultry Birds,7799911.795433704,21149935.40255678,0.7305715728967604,2535.283753966776
Iraq,Poultry Birds,18622305.06802353,95386692.89377691,0.8366593391666939,2268.791572070593
Denmark,Pigs,18288463.07103478,13122703.040310662,0.41777191568735983,2258.338391229309
Georgia,Poultry Birds,6842473.253157272,8019317.506506356,0.5395929492071425,2127.6009964245186
Saint Lucia,Poultry Birds,695619.1831422091,370004.7235298519,0.3472188651297953,2067.9666196993767
Sao Tome and Principe,Poultry Birds,568887.4115427053,441260.2639322439,0.43682748042237796,2040.7741299786512
Grenada,Poultry Birds,294998.1102736915,237596.25071598287,0.4461110896376713,1929.1830131454692
Madagascar,Poultry Birds,22238607.819769856,51408978.051093236,0.6980402336776659,1843.994995794282
Bangladesh,Poultry Birds,57216377.96203107,299725152.73782414,0.8397037804767439,1800.9407448575614
India,Poultry Birds,462982883.7677499,2392883246.7850065,0.8378835482466613,1721.5403690082228
Cameroon,Poultry Birds,59280611.15651842,44294751.82059374,0.42765722028299225,1694.7060949423226
Lithuania,Wheat and products,691094.3001982385,4233906.84208198,0.8596763167696911,1492.9676089008708
Paraguay,Soyabeans,1813986.4645755277,9231292.546046454,0.8357681627751494,1404.4177352433867
Guatemala,Sugar cane,3882615.875186579,23786384.12481348,0.8596763209661871,1380.4275254645172
Zambia,Poultry Birds,24300271.52428614,25008666.447173964,0.5071832303840922,1340.5937483710175
Latvia,Wheat and products,396989.9158623725,2432111.269944282,0.8596763106763253,1275.1967078906955
Malawi,Poultry Birds,19526050.85503383,21906753.299946986,0.5287296804243331,1145.6978448978969
Lao People's Democratic Republic,Poultry Birds,40041103.88009375,8309421.351611242,0.17185793353414258,1143.657886168145
"China, Hong Kong SAR",Poultry Birds,12454958.30165991,8498300.967142591,0.405583726050476,1132.8187575695874
Montenegro,Poultry Birds,254249.1861010763,711890.1126153433,0.7368400328618624,1130.181639040695
Argentina,Maize and products,8194937.055632602,50205304.16593845,0.8596763149566294,1117.9480527043559
El Salvador,Sugar cane,1079650.3864861573,6614349.613513844,0.8596763209661871,1053.0857752275613
Bolivia (Plurinational State of),"Rodents, other",3740532.713925737,12437485.450996943,0.7687891881568045,1048.4844609149777
Netherlands,Pigs,6714222.3222194705,17166787.7601906,0.7188468034203908,986.4679064808932
Democratic People's Republic of Korea,Poultry Birds,6111208.397010847,25438673.98035117,0.8063001210617564,985.4896509999801
United States of America,Maize and products,53074056.54297213,325150412.41204154,0.8596757721952548,969.4747029621283
Uzbekistan,Poultry Birds,23284888.82673108,31794751.885575548,0.5772505316737032,956.4211732566955
Oman,Poultry Birds,3713545.5733486074,4330225.803601509,0.5383327795727781,943.5819299322376
Argentina,Soyabeans,8369946.935146389,41742256.88803622,0.8329758762021491,929.4969043355619
Mauritania,Poultry Birds,1526285.1701742678,4091317.0154783493,0.7283030873790943,921.2742041995115
Serbia,Maize and products,1107376.7729142124,6784200.8291110825,0.859676121967043,918.7625876311025
Spain,Pigs,10956853.563398505,43364206.323209666,0.7982945548877313,916.2106162877247
Botswana,Poultry Birds,460207.38030556927,2223135.222245535,0.8284947364276029,880.9586300541719
Peru,"Rodents, other",21447667.310332976,29078804.274417624,0.5755162266900486,878.7717539907753
Tajikistan,Poultry Birds,4238508.250218933,8255887.133771671,0.6607672384331742,874.3034132475162
Central African Republic,Poultry Birds,2670189.813067728,4596706.377198985,0.6325542923477863,871.9051038820721
Benin,Poultry Birds,17739063.4510158,10690100.349894188,0.37602584531705463,857.4842026578061
Uganda,Poultry Birds,13285468.960256577,36756683.512062036,0.734514438250721,841.3862285852528
Guinea-Bissau,Poultry Birds,1744207.9127642252,1652888.8396763103,0.4865592475365458,829.2210665795969
Canada,Wheat and products,4997712.294192489,30617857.478565004,0.8596761942577356,810.8922440691874
Turkmenistan,Poultry Birds,10194260.289558066,4970714.81306087,0.3277759956363163,801.1640211201064
Kenya,Poultry Birds,8834061.720994188,40047934.45889083,0.8192778034578422,778.2310581449196
Paraguay,Maize and products,820352.3276855055,5025785.21663423,0.8596761842385009,764.6060241897591
Côte d'Ivoire,Poultry Birds,50826743.37073803,19833903.350749582,0.2806923552359474,749.0831052251834
Niger,Poultry Birds,7445789.799211814,17794924.412942827,0.7050087514708161,745.1283561985281
United Republic of Tanzania,Poultry Birds,38234925.76787797,44477337.18919308,0.537735706883966,731.8726070042406
Bolivia (Plurinational State of),Sugar cane,1416427.216167311,8677572.78383271,0.8596763209661871,731.5224816265442
Angola,Poultry Birds,33328411.756964214,23275060.8909489,0.41119492854661477,707.4702274646519
Costa Rica,Sugar cane,588657.8335468468,3606342.166453157,0.8596763209661868,706.383658123387
RoW,Poultry Birds,18233822.73500851,10051307.09523236,0.35535658331983566,693.4005608868882
Sierra Leone,Poultry Birds,19115311.875993624,5639063.503897537,0.22780067835920204,692.7418575981939
Belgium,Pigs,2849796.891560123,7911317.781067349,0.7351764219361946,685.4805168431029
Lesotho,Poultry Birds,342128.4287256465,1506352.9651026637,0.8149137828122365,672.5979079795642
Kazakhstan,Wheat and products,2053683.6691146973,12581647.362192106,0.8596763090140147,667.0701097076429
Antigua and Barbuda,Poultry Birds,11570.387572868822,60500.09697074284,0.8394573361600297,654.9259769287034
Denmark,Barley and products,610864.1224812635,3742375.03019063,0.8596759559818044,644.0402696834451
Ukraine,Maize and products,4550986.579439399,27881062.504335552,0.8596762551856103,632.3570941453688
Denmark,Wheat and products,580145.3275766965,3554189.3587622484,0.8596762546840566,611.6546456881073
Cambodia,Poultry Birds,11575696.758141631,9892468.717071546,0.4607971150815491,607.0384601314869
