area,item,amount [t],absolute_losses [t],relative_losses,al/capita [kg]
Malta,Milk - Excluding Butter,59731.6308813585,-2597.0761840018313,-0.04545543756766146,-5.0963533472695595
Malta,Beer,22054.98375000029,-2601.5055244507275,-0.13372958266321722,-5.105045230920099
Jordan,Rabbits and hares,82530.53851167057,-60526.59314208372,-1.0,-5.595466607299155
Madagascar,Rice and products,5018090.712632258,-159130.82801320963,-0.03274997773020005,-5.707883363122389
Benin,Poultry Birds,28503120.479971398,-73956.67906140909,-0.0026014370165556855,-5.93228144736914
Mozambique,Maize and products,2241023.9998401366,-182832.5287627161,-0.08883164240643127,-5.951434026182566
Botswana,"Sweeteners, Other",83636.1218207423,-15027.909146297316,-0.2190395079610472,-5.955088166309688
Malta,"Alcohol, Non-Food",3040.499941273717,-3040.499941273717,-1.0,-5.966502695814749
Jordan,Maize and products,831099.6920326035,-64686.76281561644,-0.08440197229149593,-5.980059383474523
Democratic People's Republic of Korea,Maize and products,2734820.743459565,-160944.8817251483,-0.0625301647674239,-6.234975747716231
Sierra Leone,Poultry Birds,24807367.16064316,-52991.78075199947,-0.0021407036105240973,-6.509879629871846
Bosnia and Herzegovina,Wheat and products,549664.3178400657,-22295.786972485483,-0.04227743156347685,-6.673439234332707
Djibouti,Maize and products,15303.580276977342,-7233.785163345325,-0.8964025804230829,-6.6834436771907315
Benin,Rice and products,1729682.528154346,-84437.83218104648,-0.05132235489815362,-6.773005381809625
Dominican Republic,Pigs,1075574.060157002,-74480.90437013994,-0.07439957404523234,-6.808532938039167
Senegal,Maize and products,1194172.0430798882,-110976.13383527054,-0.1024525045637048,-6.843844450195023
Estonia,Maize and products,32055.726728857306,-9407.097540928818,-0.4153495323214844,-7.077869709656725
Cabo Verde,Maize and products,46019.41616167885,-4511.138975896407,-0.10868046764999395,-7.778724397294872
Saudi Arabia,Maize and products,3386832.8026215574,-288548.6912745512,-0.09313177258915162,-7.964364180975664
Namibia,"Sweeteners, Other",120899.62060807172,-19690.16624313385,-0.194548684870246,-7.981172149525064
Denmark,Wheat and products,4182778.2623215895,-48443.57598264469,-0.011717381309915842,-8.336848522288184
Slovenia,Wheat and products,259320.5549014372,-18257.096085777186,-0.075735643118513,-8.627089820010653
Egypt,Rabbits and hares,54625806.059420906,-938232.1417174488,-0.01747577834594738,-8.806489795671833
Congo,Poultry Birds,7515060.203545272,-50485.83294851426,-0.006763390709506378,-8.958873610100186
Estonia,Pigs,574544.0382865736,-12056.89479126921,-0.021434969546765936,-9.07156857514804
Libya,Maize and products,772832.4965886701,-59993.93729533488,-0.08416202590781463,-9.073454815275264
Senegal,Rice and products,3093382.3143266635,-160600.14213455096,-0.05476033769480737,-9.904133019083012
Finland,Wheat and products,655417.3548114186,-55062.75624215498,-0.09171705584229373,-9.965721920713488
Oman,Maize and products,461136.8403975432,-47199.27350975218,-0.11402510254051634,-10.285002124528926
Russian Federation,Maize and products,11457032.399294278,-1500489.1773776542,-0.15070382801881843,-10.294127732184657
Mozambique,Poultry Birds,42726073.39056704,-327855.8975800574,-0.0077327755025147216,-10.672131254471159
Austria,Wheat and products,2622736.074359203,-96934.41420587804,-0.03837768251367524,-10.890153898389487
Bangladesh,Poultry Birds,358811896.4422295,-1870365.7423742414,-0.005239977927777195,-11.23835568172671
Namibia,Maize and products,216769.8494752905,-28332.64194968663,-0.15035587887194168,-11.484295767698628
Dominican Republic,Maize and products,1417492.5561837167,-126548.02157842298,-0.09802746608096147,-11.568151332837598
Republic of Moldova,Wheat and products,371329.0322256127,-35880.29714439734,-0.10696208806901697,-11.592897872325816
Viet Nam,Beer,4964919.053420209,-1137163.8810272487,-0.2970837553114294,-11.820388635448069
Rwanda,Poultry Birds,5035545.076159021,-155969.20865462907,-0.03196368145299444,-12.009334993820444
Egypt,Maize and products,15430476.965067023,-1415928.6470719427,-0.10103277072824746,-13.290272873207185
Albania,Maize and products,520449.879895494,-42146.37322771875,-0.08811637932856131,-14.674256815575463
Nicaragua,Maize and products,858117.8812335683,-98471.0600883225,-0.1296274233595387,-14.675914975147565
Croatia,Poultry Birds,46957820.476628125,-63153.348855271935,-0.0013467064108418914,-15.348454349281173
Croatia,Wheat and products,995147.23455041,-63571.9555266432,-0.06824135092256056,-15.450190290483127
Israel,Maize and products,2102096.933530446,-148726.05056401342,-0.07613815269845459,-17.123302167245374
Democratic People's Republic of Korea,Poultry Birds,32028186.950335894,-478304.5729738772,-0.015160264854650496,-18.529433061479637
Djibouti,Wheat and products,177894.39479014155,-20235.655846291542,-0.12835099393696447,-18.696140826106618
Cabo Verde,Poultry Birds,579817.496548023,-12233.151978239533,-0.0215530116277467,-21.094078071500558
Viet Nam,Pigs,44259119.61922918,-2058182.6569348723,-0.04877101801729711,-21.39403061740959
Australia,Poultry Birds,526633396.2475348,-571949.2985461354,-0.0010872290715528976,-22.39059233597351
Zambia,"Sweeteners, Other",610151.580013247,-433930.1827307348,-1.0,-23.260900033478293
Sweden,Wheat and products,3626373.43825676,-253356.2372176363,-0.07511264310765586,-24.546659713255984
Cameroon,Poultry Birds,104270645.3026343,-695282.3255221397,-0.006712815726996668,-26.601327388411317
Zambia,Maize and products,3901170.034494683,-510183.1646842514,-0.15045271016126716,-27.34845388675798
Madagascar,Poultry Birds,74416434.59461953,-768848.7237564325,-0.010439564510703159,-27.577930020718096
Viet Nam,Wheat and products,5494381.236484768,-2983558.6365178158,-1.0,-31.012964084323624
Russian Federation,Rabbits and hares,11863423.223578388,-4662201.846471529,-0.6474182089850711,-31.985103287903137
Latvia,Wheat and products,2893173.984313084,-64072.79850642942,-0.022647757820708936,-33.59444229811677
Togo,Poultry Birds,29262561.885103267,-312714.68711278215,-0.010801946033569765,-37.48571571372257
Malta,Pigs,63777.16156919297,-19882.272570113862,-0.4529518817220606,-39.015831336873134
Norway,Wheat and products,915149.6799782708,-219627.48937810096,-0.31577351858261093,-40.91455486830664
Estonia,Poultry Birds,12197348.14458464,-71487.35340547934,-0.005895445662503551,-53.78685307457857
Norway,Poultry Birds,56839696.50968948,-294164.39953543246,-0.00520225716441014,-54.80008672491339
Democratic People's Republic of Korea,Rabbits and hares,105262302.2584136,-1910915.8611034453,-0.018489503892646253,-74.02853649147495
Eswatini,Maize and products,363087.07793123537,-90913.06619753485,-0.33402552146119535,-77.42408692524484
Zambia,Wheat and products,1697132.127729134,-1474933.1289731872,-1.0,-79.06403710663254
Eswatini,"Alcohol, Non-Food",259953.5267810404,-113479.0857204191,-0.7747364311392291,-96.6419345919418
Liberia,Poultry Birds,17717137.86501594,-506878.304533042,-0.029452101100026606,-100.68714209155792
Albania,Poultry Birds,11216870.105969142,-313570.8554112185,-0.028759263430761406,-109.17711085891602
Zambia,Poultry Birds,51465585.10710765,-2156647.1356475353,-0.04373744851077088,-115.60743047208973
Malta,Maize and products,111977.40620296149,-59671.137626296295,-1.0,-117.0952180188116
Senegal,Poultry Birds,86065664.90365887,-1909181.413679555,-0.022686088278710992,-117.738293548965
Nicaragua,Poultry Birds,61891626.994974606,-856563.456711866,-0.014033956992195007,-127.66037504061146
Finland,Poultry Birds,88241493.8854417,-723224.054753691,-0.008263692325646277,-130.89518774449337
Republic of Moldova,Poultry Birds,24230525.75037497,-423556.39965798333,-0.017791277563232955,-136.85076421313155
Sweden,Poultry Birds,112591899.66022134,-1705893.517713055,-0.015384209216812161,-165.27711394127346
Namibia,Poultry Birds,13217484.595068105,-413975.6341378037,-0.032332982731612336,-167.80004602118365
Estonia,Wheat and products,1130242.555768045,-280054.9291403432,-0.3294036755759322,-210.71242127322324
Viet Nam,Poultry Birds,759384024.8430177,-33301059.675779343,-0.045863987000589024,-346.151925775532
Eswatini,Wheat and products,518781.9918526339,-450121.4314773981,-1.0,-383.3358866359156
Eswatini,Poultry Birds,7425760.322056939,-812401.2021482149,-0.12284244472715522,-691.8633803047592
Malta,Wheat and products,454096.7789001144,-409122.60378319316,-1.0,-802.8387322936708
Egypt,Poultry Birds,1363427641.7226255,-110112346.53325248,-0.08785686008612448,-1033.5429932591219
Dominican Republic,Poultry Birds,180962211.0716684,-12296444.598408341,-0.07290421082785525,-1124.0565454600114
Malta,Poultry Birds,3054681.502223582,-1084719.446379462,-0.550629613987496,-2128.5912271106704
