area,item,amount [t],absolute_losses [t],relative_losses,al/capita [kg]
Ethiopia,Grazing,0.0,325030119.0,1.0,2810.7465290929413
Mali,Grazing,0.0,58408003.0,1.0,2796.4099877333897
Lithuania,Grazing,0.0,7786254.0,1.0,2745.6024542473288
Estonia,Grazing,0.0,3494797.0,1.0,2629.473939233428
Peru,Grazing,0.0,86329996.0,1.0,2608.9230248603812
Cuba,Grazing,0.0,28416087.0,1.0,2512.6442670397896
Senegal,Grazing,0.0,40368077.0,1.0,2489.479766447676
Luxembourg,Grazing,0.0,1518021.0,1.0,2424.647688231038
Belarus,Fodder crops,1.5920445682123593e-14,22898329.86808898,1.0,2370.171367410083
Latvia,Grazing,0.0,4463836.0,1.0,2340.464041307772
Albania,Fodder crops,2.866328490698102e-14,6408178.905014191,1.0,2231.159071843611
Guatemala,Grazing,0.0,38355263.0,1.0,2225.9230538700444
Austria,Grazing,0.0,19530913.0,1.0,2194.2119327643104
Burkina Faso,Grazing,0.0,45856569.0,1.0,2159.7965381607755
Dominica,Grazing,0.0,147666.0,1.0,2057.6612228972745
France,Grazing,0.0,132294459.0,1.0,2052.420980809758
Uganda,Grazing,0.0,85902571.0,1.0,1966.370013109275
Slovenia,Grazing,0.0,4089482.0,1.0,1932.4173113598947
Dominican Republic,Grazing,0.0,20807242.0,1.0,1902.055214081791
Germany,Fodder crops,1.3375930301292677e-12,157771286.56758556,1.0,1894.7487661035436
Belgium,Grazing,0.0,21611215.0,1.0,1872.5157094888925
New Caledonia,Grazing,0.0,534773.0,1.0,1872.3299220289966
Switzerland,Grazing,0.0,15891474.0,1.0,1846.4650445695784
Norway,Grazing,0.0,9765508.0,1.0,1819.2231492253568
Finland,Grazing,0.0,9902461.0,1.0,1792.2308905626296
Poland,Grazing,0.0,68953621.0,1.0,1792.0287418518951
Lesotho,Grazing,0.0,3827363.0,1.0,1708.946313723319
Honduras,Grazing,0.0,16899168.0,1.0,1682.884027648457
Russian Federation,Grazing,0.0,244836343.0,1.0,1679.703276985801
Lithuania,Wheat and products,306401.44907824893,4618599.693201969,0.9377865222308581,1628.6186724503575
Guyana,Grazing,0.0,1272865.0,1.0,1607.4734606146176
Argentina,Fodder crops,6.950614994540118e-15,72050000.0,1.0,1604.3754446964658
Nepal,Grazing,0.0,46340842.0,1.0,1598.002664002044
Guatemala,Sugar cane,183946.95279072985,27485053.047209326,0.9933518756445578,1595.0774008412966
Turkey,Grazing,0.0,133316902.0,1.0,1590.6720925929167
United Kingdom,Grazing,0.0,104902398.0,1.0,1566.8492683937104
Haiti,Grazing,0.0,17552807.0,1.0,1562.4010415053333
Saint Kitts and Nevis,"Fish, Seafood",11900.775022368742,74314.29408249131,0.8619640957673619,1558.572472945016
Lao People's Democratic Republic,Grazing,0.0,11292559.0,1.0,1554.238689901651
Germany,Grazing,0.0,129381153.0,1.0,1553.7984467077883
Romania,Grazing,0.0,28896248.0,1.0,1482.6397287186637
Israel,Grazing,0.0,12688971.0,1.0,1460.9214982878545
Latvia,Wheat and products,67483.4182530215,2761617.767553633,0.9761466933061356,1447.9624880474828
Rwanda,Grazing,0.0,18601945.0,1.0,1432.3146919101391
Mozambique,Grazing,0.0,43289930.0,1.0,1409.1429142099125
Kiribati,Coconuts - Incl Copra,0.1087192110729227,173999.89128078893,0.9999993751769478,1389.1541425623438
Guinea-Bissau,Grazing,0.0,2737211.0,1.0,1373.2036724973575
Sierra Leone,Grazing,0.0,10911258.0,1.0,1340.4149696893533
Sweden,Grazing,0.0,13693911.0,1.0,1326.747575477546
New Zealand,Fodder crops,3.760153068002946e-14,6611220.781556349,1.0,1315.2742549792836
Spain,Grazing,0.0,62012860.0,1.0,1310.2243877101591
Montenegro,Grazing,0.0,810602.0,1.0,1286.8945371414056
Greece,Grazing,0.0,13539763.0,1.0,1284.1998166426483
Argentina,Maize and products,1172649.384446432,57227591.837124616,0.979920470191255,1274.317045143576
Serbia,Grazing,0.0,9390184.0,1.0,1271.6825411700847
Croatia,Grazing,0.0,5134636.0,1.0,1247.894651268313
Poland,Fodder crops,4.1050515765464245e-14,47531895.13912126,1.0,1235.3016565148287
Czech Republic,Grazing,0.0,13015171.0,1.0,1235.0807479774692
Malawi,Grazing,0.0,23594980.0,1.0,1233.9901475256215
Ukraine,Grazing,0.0,54279961.0,1.0,1231.097932618115
India,Grazing,0.0,1688328057.0,1.0,1214.6538742163123
El Salvador,Sugar cane,71344.77855240031,7622655.221447601,0.990727218800052,1213.620424110919
Benin,Grazing,0.0,14932720.0,1.0,1197.7971285217184
Vanuatu,Coconuts - Incl Copra,0.0046738894720727,363999.9953261105,0.9999999871596443,1181.9256144263454
Italy,Fodder crops,9.96083106577889e-14,70131795.47071327,1.0,1175.9207816001508
"China, mainland",Grazing,0.0,1652814651.0,1.0,1160.6860606173357
Italy,Grazing,0.0,68871938.0,1.0,1154.7963747355839
Georgia,Grazing,0.0,4234992.0,1.0,1123.5835458241215
Cameroon,Grazing,0.0,29162569.0,1.0,1115.7525755793606
United States of America,Maize and products,4234919.622559865,373989549.33245385,0.9888031579917068,1115.0944098774683
Luxembourg,Fodder crops,0.0,687202.7504152459,1.0,1097.6294531764297
Czech Republic,Fodder crops,0.0,11310972.402609603,1.0,1073.360023880407
Greece,Fodder crops,5.555497862786536e-14,11288068.328873668,1.0,1070.6343440567794
El Salvador,Grazing,0.0,6607773.0,1.0,1052.0386975033284
Gambia,Grazing,0.0,2639605.0,1.0,1038.7855566736414
France,Fodder crops,9.676891885404393e-14,66774773.33051052,1.0,1035.9462278942135
