area,item,amount [t]
Albania,Beer,82413.57151190839
Albania,"Beverages, Alcoholic",3856.241441244032
Albania,"Beverages, Fermented",0.0
Albania,Bovine Meat,34012.58548474977
Albania,Buffaloes,0.0
Albania,"Butter, Ghee",4005.8668710075867
Albania,"Camelids, other",0.0
Albania,Camels,0.0
Albania,Cassava and products,0.0
Albania,Cattle,283608.7365233919
Albania,"Cereals, Other",956.8152129436448
Albania,"Citrus, Other",16.0
Albania,Cloves,0.0
Albania,Cocoa Beans and products,0.0
Albania,Coconut Oil,0.0
Albania,Coconuts - Incl Copra,0.0
Albania,Coffee and products,7996.15026069247
Albania,Copra Cake,16.95697678596091
Albania,Cotton lint,248.86297459836175
Albania,Cottonseed,1000.0
Albania,Cottonseed Cake,27.015213611859416
Albania,Cottonseed Oil,126.70418834467365
Albania,Dates,15013.525473030684
Albania,Eggs,54823.59387038724
Albania,"Fats, Animals, Raw",3996.0307603870488
Albania,"Fish, Seafood",21756.156368428048
Albania,Fodder crops,6408178.905014191
Albania,"Fruits, Other",166560.24595640867
Albania,Goats,748626.3774162957
Albania,Grapefruit and products,0.0
Albania,Grapes and products (excl wine),203883.2789031177
Albania,Grazing,9615854.0
Albania,Groundnut Cake,39.0
Albania,Groundnut Oil,64.0
Albania,Groundnuts,1000.1129330248764
Albania,"Hard Fibres, Other",0.0
Albania,Hides and skins,13916.629713957127
Albania,Honey,5000.0
Albania,Hops,1801.735113635004
Albania,Horses,2.9789896534975298
Albania,Jute,0.0
Albania,Jute-Like Fibres,0.0
Albania,"Lemons, Limes and products",9489.5682750577
Albania,Maize Germ Oil,1711.364264125077
Albania,Maize and products,519862.85446070344
Albania,"Meat, Other",0.0
Albania,Milk - Excluding Butter,1073896.1589848348
Albania,Millet and products,0.0
Albania,Mules,0.0
Albania,Mutton & Goat Meat,24000.03878671967
Albania,Nuts and products,16823.131634371406
Albania,Oats,36071.338087221055
Albania,"Offals, Edible",14503.953700126565
Albania,"Oil, palm fruit",0.0
Albania,"Oilcrops Oil, Other",3691.28800726635
Albania,"Oilcrops, Other",0.0
Albania,"Oilseed Cakes, Other",635.3672648720247
Albania,Olive Oil,13816.825227328452
Albania,Olives (including preserved),139818.4895075656
Albania,Onions,106686.9449439436
Albania,"Oranges, Mandarines",63081.33750672941
