,item,item_substitute,substitutitability index,comm_group,group
388,Mutton & Goat Meat,"Meat, Other",0.055402257,Meat,Livestock products
389,Bovine Meat,Mutton & Goat Meat,0.049473427,Meat,Livestock products
390,"Meat, Other",Mutton & Goat Meat,0.14102748,Meat,Livestock products
391,"Offals, Edible",Mutton & Goat Meat,0.07109358,Meat,Livestock products
392,Pigmeat,Mutton & Goat Meat,0.05513706,Meat,Livestock products
393,Poultry Meat,Mutton & Goat Meat,0.06094622,Meat,Livestock products
394,Bovine Meat,"Offals, Edible",0.056774728,Meat,Livestock products
395,"Meat, Other","Offals, Edible",0.0482771,Meat,Livestock products
396,Pigmeat,"Offals, Edible",0.093430504,Meat,Livestock products
397,Bovine Meat,Pigmeat,0.09611209,Meat,Livestock products
398,"Meat, Other",Pigmeat,0.072014526,Meat,Livestock products
399,"Offals, Edible",Pigmeat,0.09115109,Meat,Livestock products
400,Poultry Meat,Pigmeat,0.05529846,Meat,Livestock products
401,Bovine Meat,Poultry Meat,0.07376286,Meat,Livestock products
402,"Meat, Other",Poultry Meat,0.047946528,Meat,Livestock products
403,Mutton & Goat Meat,Poultry Meat,0.05792951,Meat,Livestock products
404,"Offals, Edible",Poultry Meat,0.10229265,Meat,Livestock products
405,Pigmeat,Poultry Meat,0.0569902,Meat,Livestock products
406,"Butter, Ghee",Milk - Excluding Butter,0.07719032,Milk,Livestock products
407,Cassava and products,Potatoes and products,0.12849395,Roots and tubers,Primary crops
408,Sweet potatoes,Potatoes and products,0.08891711,Roots and tubers,Primary crops
409,Cassava and products,Sweet potatoes,0.08255016,Roots and tubers,Primary crops
410,Potatoes and products,Sweet potatoes,0.13218614,Roots and tubers,Primary crops
411,Cattle,Pigs,0.05146718,Live animals,Livestock
412,Horses,Pigs,0.07917118,Live animals,Livestock
413,Poultry Birds,Pigs,0.05720007,Live animals,Livestock
414,Cattle,Poultry Birds,0.07691908,Live animals,Livestock
415,Horses,Poultry Birds,0.08783727,Live animals,Livestock
416,Pigs,Poultry Birds,0.08576215,Live animals,Livestock
417,Sheep,Poultry Birds,0.10143768,Live animals,Livestock
418,Cattle,Sheep,0.08429555,Live animals,Livestock
419,Goats,Sheep,0.066863954,Live animals,Livestock
420,Horses,Sheep,0.0798769,Live animals,Livestock
421,Poultry Birds,Sheep,0.04788737,Live animals,Livestock
422,"Cereals, Other",Barley and products,0.18142179,Cereals,Primary crops
423,Maize and products,Barley and products,0.07321375,Cereals,Primary crops
424,Millet and products,Barley and products,0.08877914,Cereals,Primary crops
425,Oats,Barley and products,0.12383978,Cereals,Primary crops
426,Rice and products,Barley and products,0.10182382,Cereals,Primary crops
427,Sorghum and products,Barley and products,0.087394804,Cereals,Primary crops
428,Wheat and products,Barley and products,0.083256066,Cereals,Primary crops
429,Cocoa Beans and products,Coffee and products,0.09748794,"Coffee, tea, cocoa",Primary crops
430,Coconut Oil,"Oilcrops Oil, Other",0.07268135,Vegetable oils,Crop products
431,Groundnut Oil,"Oilcrops Oil, Other",0.111644626,Vegetable oils,Crop products
432,Maize Germ Oil,"Oilcrops Oil, Other",0.09148036,Vegetable oils,Crop products
433,Palm Oil,"Oilcrops Oil, Other",0.08744253,Vegetable oils,Crop products
434,Rape and Mustard Oil,"Oilcrops Oil, Other",0.08471258,Vegetable oils,Crop products
435,Soyabean Oil,"Oilcrops Oil, Other",0.04540846,Vegetable oils,Crop products
436,Sunflowerseed Oil,"Oilcrops Oil, Other",0.04964359,Vegetable oils,Crop products
437,Coconut Oil,Olive Oil,0.10366166,Vegetable oils,Crop products
438,Maize Germ Oil,Olive Oil,0.082080945,Vegetable oils,Crop products
439,"Oilcrops Oil, Other",Olive Oil,0.0447851,Vegetable oils,Crop products
440,Palm Oil,Olive Oil,0.081834294,Vegetable oils,Crop products
441,Palmkernel Oil,Olive Oil,0.05838944,Vegetable oils,Crop products
442,Rape and Mustard Oil,Olive Oil,0.14118867,Vegetable oils,Crop products
443,Soyabean Oil,Olive Oil,0.08073643,Vegetable oils,Crop products
444,Sunflowerseed Oil,Olive Oil,0.1484654,Vegetable oils,Crop products
445,Coconut Oil,Palm Oil,0.09568929,Vegetable oils,Crop products
446,Groundnut Oil,Palm Oil,0.1045524,Vegetable oils,Crop products
447,Maize Germ Oil,Palm Oil,0.09389036,Vegetable oils,Crop products
448,"Oilcrops Oil, Other",Palm Oil,0.13171908,Vegetable oils,Crop products
449,Olive Oil,Palm Oil,0.19559191,Vegetable oils,Crop products
450,Palmkernel Oil,Palm Oil,0.076622576,Vegetable oils,Crop products
451,Soyabean Oil,Palm Oil,0.118984364,Vegetable oils,Crop products
452,Sunflowerseed Oil,Palm Oil,0.14259219,Vegetable oils,Crop products
453,Coconut Oil,Palmkernel Oil,0.10330114,Vegetable oils,Crop products
454,Groundnut Oil,Palmkernel Oil,0.15716287,Vegetable oils,Crop products
455,Maize Germ Oil,Palmkernel Oil,0.07352336,Vegetable oils,Crop products
456,"Oilcrops Oil, Other",Palmkernel Oil,0.05657878,Vegetable oils,Crop products
457,Olive Oil,Palmkernel Oil,0.08434904,Vegetable oils,Crop products
458,Coconut Oil,Rape and Mustard Oil,0.06846584,Vegetable oils,Crop products
459,Groundnut Oil,Rape and Mustard Oil,0.096783616,Vegetable oils,Crop products
460,Maize Germ Oil,Rape and Mustard Oil,0.08694326,Vegetable oils,Crop products
461,"Oilcrops Oil, Other",Rape and Mustard Oil,0.07214565,Vegetable oils,Crop products
462,Palm Oil,Rape and Mustard Oil,0.15126449,Vegetable oils,Crop products
463,Soyabean Oil,Rape and Mustard Oil,0.07357407,Vegetable oils,Crop products
464,Sunflowerseed Oil,Rape and Mustard Oil,0.08641852,Vegetable oils,Crop products
465,Coconut Oil,Sesameseed Oil,0.12365386,Vegetable oils,Crop products
466,Cottonseed Oil,Sesameseed Oil,0.25527364,Vegetable oils,Crop products
467,Maize Germ Oil,Sesameseed Oil,0.08475074,Vegetable oils,Crop products
468,"Oilcrops Oil, Other",Sesameseed Oil,0.076337084,Vegetable oils,Crop products
469,Olive Oil,Sesameseed Oil,0.09184395,Vegetable oils,Crop products
470,Palmkernel Oil,Sesameseed Oil,0.13993502,Vegetable oils,Crop products
471,Rape and Mustard Oil,Sesameseed Oil,0.12599456,Vegetable oils,Crop products
472,Coconut Oil,Soyabean Oil,0.074716605,Vegetable oils,Crop products
473,Groundnut Oil,Soyabean Oil,0.12516162,Vegetable oils,Crop products
474,Maize Germ Oil,Soyabean Oil,0.13817719,Vegetable oils,Crop products
475,"Oilcrops Oil, Other",Soyabean Oil,0.05218104,Vegetable oils,Crop products
476,Olive Oil,Soyabean Oil,0.11656483,Vegetable oils,Crop products
477,Palm Oil,Soyabean Oil,0.11295645,Vegetable oils,Crop products
478,Rape and Mustard Oil,Soyabean Oil,0.10562987,Vegetable oils,Crop products
479,Sunflowerseed Oil,Soyabean Oil,0.086748526,Vegetable oils,Crop products
480,Coconut Oil,Sunflowerseed Oil,0.10383165,Vegetable oils,Crop products
481,Cottonseed Oil,Sunflowerseed Oil,0.18406832,Vegetable oils,Crop products
482,Groundnut Oil,Sunflowerseed Oil,0.20113455,Vegetable oils,Crop products
483,Maize Germ Oil,Sunflowerseed Oil,0.17550133,Vegetable oils,Crop products
484,"Oilcrops Oil, Other",Sunflowerseed Oil,0.10261026,Vegetable oils,Crop products
485,Olive Oil,Sunflowerseed Oil,0.08401624,Vegetable oils,Crop products
486,Palm Oil,Sunflowerseed Oil,0.12858899,Vegetable oils,Crop products
487,Palmkernel Oil,Sunflowerseed Oil,0.09477633,Vegetable oils,Crop products
488,Soyabean Oil,Sunflowerseed Oil,0.08761737,Vegetable oils,Crop products
489,Coconuts - Incl Copra,Sesame seed,0.10199435,Oil crops,Primary crops
490,Groundnuts,Sesame seed,0.059075613,Oil crops,Primary crops
491,Olives (including preserved),Sesame seed,0.058530506,Oil crops,Primary crops
492,Sunflower seed,Sesame seed,0.06925281,Oil crops,Primary crops
493,Coconuts - Incl Copra,Soyabeans,0.13769513,Oil crops,Primary crops
494,Groundnuts,Soyabeans,0.042665835,Oil crops,Primary crops
495,"Oilcrops, Other",Soyabeans,0.048624847,Oil crops,Primary crops
496,Rape and Mustardseed,Soyabeans,0.13807431,Oil crops,Primary crops
497,Sesame seed,Soyabeans,0.06540116,Oil crops,Primary crops
498,Sunflower seed,Soyabeans,0.07241219,Oil crops,Primary crops
499,Copra Cake,Cottonseed Cake,0.12424136,Oil cakes,Crop products
500,Groundnut Cake,Cottonseed Cake,0.16387016,Oil cakes,Crop products
501,Copra Cake,Rape and Mustard Cake,0.107922636,Oil cakes,Crop products
502,"Oilseed Cakes, Other",Rape and Mustard Cake,0.0775743,Oil cakes,Crop products
503,Soyabean Cake,Rape and Mustard Cake,0.072957195,Oil cakes,Crop products
504,Copra Cake,Soyabean Cake,0.12590988,Oil cakes,Crop products
505,"Oilseed Cakes, Other",Soyabean Cake,0.08129037,Oil cakes,Crop products
506,Palmkernel Cake,Soyabean Cake,0.12736456,Oil cakes,Crop products
507,Sunflowerseed Cake,Soyabean Cake,0.100153945,Oil cakes,Crop products
508,Cotton lint,Cottonseed,0.09668925,Fibre crops,Crop products
509,"Hard Fibres, Other",Cottonseed,0.17024249,Fibre crops,Primary crops
510,Cotton lint,Jute,0.11982276,Fibre crops,Crop products
511,Cottonseed Cake,Palmkernel Cake,0.13964738,Oil cakes,Crop products
512,Soyabean Cake,Palmkernel Cake,0.079166755,Oil cakes,Crop products
513,Goats,Camels,0.05792434,Live animals,Livestock
514,Goats,Horses,0.14234456,Live animals,Livestock
515,Rabbits and hares,Horses,0.35495955,Live animals,Livestock
516,Sheep,Horses,0.10437702,Live animals,Livestock
517,Groundnut Cake,"Oilseed Cakes, Other",0.14803943,Oil cakes,Crop products
518,Rape and Mustard Cake,"Oilseed Cakes, Other",0.18549703,Oil cakes,Crop products
519,Sunflowerseed Cake,"Oilseed Cakes, Other",0.1738757,Oil cakes,Crop products
520,Groundnut Oil,Coconut Oil,0.11065267,Vegetable oils,Crop products
521,Maize Germ Oil,Coconut Oil,0.09991249,Vegetable oils,Crop products
522,"Oilcrops Oil, Other",Coconut Oil,0.07878322,Vegetable oils,Crop products
523,Palm Oil,Coconut Oil,0.07238647,Vegetable oils,Crop products
524,Palmkernel Oil,Coconut Oil,0.07412385,Vegetable oils,Crop products
525,Rape and Mustard Oil,Coconut Oil,0.15868269,Vegetable oils,Crop products
526,Sunflowerseed Oil,Coconut Oil,0.07897529,Vegetable oils,Crop products
527,Groundnuts,Coconuts - Incl Copra,0.06231274,Oil crops,Primary crops
528,"Oilcrops, Other",Coconuts - Incl Copra,0.18603332,Oil crops,Primary crops
529,Olives (including preserved),Coconuts - Incl Copra,0.079197556,Oil crops,Primary crops
530,Sesame seed,Coconuts - Incl Copra,0.14600089,Oil crops,Primary crops
531,Soyabeans,Coconuts - Incl Copra,0.122999646,Oil crops,Primary crops
532,Sunflower seed,Coconuts - Incl Copra,0.15554641,Oil crops,Primary crops
533,Groundnuts,"Oilcrops, Other",0.05821507,Oil crops,Primary crops
534,Olives (including preserved),"Oilcrops, Other",0.071386606,Oil crops,Primary crops
535,Groundnuts,Rape and Mustardseed,0.12741819,Oil crops,Primary crops
536,"Oilcrops, Other",Rape and Mustardseed,0.13405472,Oil crops,Primary crops
537,Olives (including preserved),Rape and Mustardseed,0.08148864,Oil crops,Primary crops
538,Sesame seed,Rape and Mustardseed,0.16929771,Oil crops,Primary crops
539,Soyabeans,Rape and Mustardseed,0.09113849,Oil crops,Primary crops
540,Horses,Cattle,0.105613,Live animals,Livestock
541,Poultry Birds,Cattle,0.123297185,Live animals,Livestock
542,Horses,Goats,0.078023545,Live animals,Livestock
543,"Meat, Other",Bovine Meat,0.05927491,Meat,Livestock products
544,Mutton & Goat Meat,Bovine Meat,0.113655746,Meat,Livestock products
545,"Offals, Edible",Bovine Meat,0.058401883,Meat,Livestock products
546,Pigmeat,Bovine Meat,0.05923733,Meat,Livestock products
547,Poultry Meat,Bovine Meat,0.08301737,Meat,Livestock products
548,Milk - Excluding Butter,"Butter, Ghee",0.14227507,Milk,Livestock products
549,"Oilcrops, Other",Groundnuts,0.13618883,Oil crops,Primary crops
550,Olives (including preserved),Groundnuts,0.08744907,Oil crops,Primary crops
551,Rape and Mustardseed,Groundnuts,0.06299064,Oil crops,Primary crops
552,Sesame seed,Groundnuts,0.05911559,Oil crops,Primary crops
553,Soyabeans,Groundnuts,0.07700253,Oil crops,Primary crops
554,"Oilcrops, Other",Sunflower seed,0.07534691,Oil crops,Primary crops
555,Rape and Mustardseed,Sunflower seed,0.12131532,Oil crops,Primary crops
556,Soyabeans,Sunflower seed,0.05521289,Oil crops,Primary crops
557,Olive Oil,Maize Germ Oil,0.094018795,Vegetable oils,Crop products
558,Rape and Mustard Oil,Maize Germ Oil,0.08128025,Vegetable oils,Crop products
559,Soyabean Oil,Maize Germ Oil,0.053563487,Vegetable oils,Crop products
560,Sunflowerseed Oil,Maize Germ Oil,0.09179571,Vegetable oils,Crop products
561,Potatoes and products,Cassava and products,0.10072989,Roots and tubers,Primary crops
562,Sweet potatoes,Cassava and products,0.22266385,Roots and tubers,Primary crops
563,Rape and Mustard Cake,Sunflowerseed Cake,0.17775677,Oil cakes,Crop products
564,Soyabean Cake,Sunflowerseed Cake,0.097412795,Oil cakes,Crop products
565,Rape and Mustardseed,Olives (including preserved),0.10480109,Oil crops,Primary crops
566,Sesame seed,Olives (including preserved),0.06486419,Oil crops,Primary crops
567,Soyabeans,Olives (including preserved),0.091371424,Oil crops,Primary crops
568,Sunflower seed,Olives (including preserved),0.097026095,Oil crops,Primary crops
569,Rape and Mustardseed,Palm kernels,0.12264243,Oil crops,Primary crops
570,Sesame seed,Palm kernels,0.06388645,Oil crops,Primary crops
571,Soyabean Oil,Cottonseed Oil,0.050320208,Vegetable oils,Crop products
572,Sugar (Raw Equivalent),"Sweeteners, Other",0.0789129,"Sugar, sweeteners",Crop products
573,Sunflowerseed Oil,Groundnut Oil,0.10448603,Vegetable oils,Crop products
574,"Sweeteners, Other",Sugar (Raw Equivalent),0.10259804,"Sugar, sweeteners",Crop products
575,Tobacco,Rubber,0.04137945,"Tobacco, rubber",Primary crops
576,Wine,"Beverages, Alcoholic",0.08365569,Alcohol,Crop products
577,Wool (Clean Eq.),Silk,0.094576575,"Hides, skins, wool",Livestock products
